date,new_cases,new_deaths,new_tests
12/31/2019,0,0,
1/1/2020,0,0,
1/2/2020,0,0,
1/3/2020,0,0,
1/4/2020,0,0,
1/5/2020,0,0,
1/6/2020,0,0,
1/7/2020,0,0,
1/8/2020,0,0,
1/9/2020,0,0,
1/10/2020,0,0,
1/11/2020,0,0,
1/12/2020,0,0,
1/13/2020,0,0,
1/14/2020,0,0,
1/15/2020,0,0,
1/16/2020,0,0,
1/17/2020,0,0,
1/18/2020,0,0,
1/19/2020,0,0,
1/20/2020,0,0,
1/21/2020,0,0,
1/22/2020,0,0,
1/23/2020,0,0,
1/24/2020,0,0,
1/25/2020,0,0,
1/26/2020,0,0,
1/27/2020,0,0,
1/28/2020,0,0,
1/29/2020,0,0,
1/30/2020,0,0,
1/31/2020,3,0,
2/1/2020,0,0,
2/2/2020,0,0,
2/3/2020,0,0,
2/4/2020,0,0,
2/5/2020,0,0,
2/6/2020,0,0,
2/7/2020,0,0,
2/8/2020,0,0,
2/9/2020,0,0,
2/10/2020,0,0,
2/11/2020,0,0,
2/12/2020,0,0,
2/13/2020,0,0,
2/14/2020,0,0,
2/15/2020,0,0,
2/16/2020,0,0,
2/17/2020,0,0,
2/18/2020,0,0,
2/19/2020,0,0,
2/20/2020,0,0,
2/21/2020,0,0,
2/22/2020,14,0,
2/23/2020,62,2,
2/24/2020,53,0,
2/25/2020,97,4,
2/26/2020,93,5,
2/27/2020,78,1,
2/28/2020,250,5,
2/29/2020,238,4,
3/1/2020,240,8,
3/2/2020,561,6,
3/3/2020,347,17,
3/4/2020,466,28,
3/5/2020,587,27,
3/6/2020,769,41,
3/7/2020,778,49,
3/8/2020,1247,36,
3/9/2020,1492,133,
3/10/2020,1797,98,
3/11/2020,977,167,
3/12/2020,2313,196,
3/13/2020,2651,189,
3/14/2020,2547,252,
3/15/2020,3497,173,
3/16/2020,2823,370,
3/17/2020,4000,347,
3/18/2020,3526,347,
3/19/2020,4207,473,
3/20/2020,5322,429,
3/21/2020,5986,625,
3/22/2020,6557,795,
3/23/2020,5560,649,
3/24/2020,4789,601,
3/25/2020,5249,743,
3/26/2020,5210,685,
3/27/2020,6153,660,
3/28/2020,5959,971,
3/29/2020,5974,887,
3/30/2020,5217,758,
3/31/2020,4050,810,
4/1/2020,4053,839,
4/2/2020,4782,727,
4/3/2020,4668,760,
4/4/2020,4585,764,
4/5/2020,4805,681,
4/6/2020,4316,527,
4/7/2020,3599,636,
4/8/2020,3039,604,
4/9/2020,3836,540,
4/10/2020,4204,612,
4/11/2020,3951,570,
4/12/2020,4694,619,
4/13/2020,4092,431,
4/14/2020,3153,564,
4/15/2020,2972,604,
4/16/2020,2667,578,
4/17/2020,3786,525,
4/18/2020,3493,575,
4/19/2020,3491,480,
4/20/2020,3047,433,7841
4/21/2020,2256,454,28095
4/22/2020,2729,534,44248
4/23/2020,3370,437,37083
4/24/2020,2646,464,95273
4/25/2020,3021,420,38676
4/26/2020,2357,415,24113
4/27/2020,2324,260,26678
4/28/2020,1739,333,37554
4/29/2020,2091,382,38589
4/30/2020,2086,323,41441
5/1/2020,1872,285,43732
5/2/2020,1965,269,31231
5/3/2020,1900,474,27047
5/4/2020,1389,174,22999
5/5/2020,1221,195,32211
5/6/2020,1075,236,37771
5/7/2020,1444,369,13665
5/8/2020,1401,274,45428
5/9/2020,1327,243,36091
5/10/2020,1083,194,31384
5/11/2020,802,165,25823
5/12/2020,744,179,39620
5/13/2020,1402,172,37049
5/14/2020,888,195,41131
5/15/2020,992,262,39027
5/16/2020,789,242,40657
5/17/2020,875,153,33505
5/18/2020,675,145,26101
5/19/2020,451,99,40226
5/20/2020,813,162,38617
5/21/2020,665,161,40644
5/22/2020,642,156,42987
5/23/2020,652,130,42579
5/24/2020,669,119,34206
5/25/2020,531,50,20676
5/26/2020,300,92,33944
5/27/2020,397,78,37299
5/28/2020,584,117,39838
5/29/2020,593,70,38233
5/30/2020,516,87,36051
5/31/2020,416,111,28948
6/1/2020,355,75,18053
6/2/2020,178,60,25628
6/3/2020,318,55,20035
6/4/2020,321,71,27451
6/5/2020,177,88,40470
6/6/2020,518,85,34036
6/7/2020,270,72,27894
6/8/2020,197,53,16301
6/9/2020,280,65,32200
6/10/2020,283,79,37865
6/11/2020,202,71,32991
6/12/2020,379,53,37651
6/13/2020,163,56,32880
6/14/2020,346,78,29545
6/15/2020,338,44,17463
6/16/2020,301,26,27762
6/17/2020,210,34,33957
6/18/2020,328,43,32921
6/19/2020,331,66,28570
6/20/2020,-148,47,29875
6/21/2020,264,49,24581
6/22/2020,224,24,16152
6/23/2020,221,23,23225
6/24/2020,113,18,30237
6/25/2020,577,-31,29421
6/26/2020,296,34,28331
6/27/2020,255,30,29721
6/28/2020,175,8,21183
6/29/2020,174,22,15484
6/30/2020,126,6,28471
7/1/2020,142,23,29325
7/2/2020,182,21,29147
7/3/2020,201,30,25680
7/4/2020,223,15,28946
7/5/2020,235,21,21166
7/6/2020,192,7,13771
7/7/2020,208,8,22490
7/8/2020,137,30,28679
7/9/2020,193,15,29947
7/10/2020,214,12,27251
7/11/2020,276,12,25449
7/12/2020,188,7,23061
7/13/2020,234,9,14006
7/14/2020,169,13,24222
7/15/2020,114,17,28392
7/16/2020,162,13,28089
7/17/2020,230,20,28661
7/18/2020,231,11,27569
7/19/2020,249,14,20621
7/20/2020,218,3,14121
7/21/2020,190,13,23915
7/22/2020,128,15,29288
7/23/2020,280,9,33018
7/24/2020,306,10,28970
7/25/2020,252,5,28059
7/26/2020,274,5,25177
7/27/2020,254,5,19374
7/28/2020,168,5,25341
7/29/2020,202,11,30875
7/30/2020,288,6,33396
7/31/2020,382,3,29686
8/1/2020,379,9,31905
8/2/2020,295,5,24496
8/3/2020,238,8,13467
8/4/2020,159,12,23491
8/5/2020,190,5,29739
8/6/2020,384,10,32169
8/7/2020,401,6,30392
8/8/2020,552,3,26631
8/9/2020,347,13,22773
8/10/2020,463,2,10904
8/11/2020,259,4,22063
8/12/2020,412,6,27330
8/13/2020,476,10,25629
8/14/2020,522,6,24868
8/15/2020,574,3,25937
8/16/2020,629,158,22470
8/17/2020,477,4,21379
8/18/2020,320,4,32687
8/19/2020,401,5,41290
8/20/2020,642,7,49662
8/21/2020,840,6,44943
8/22/2020,947,9,46613
8/23/2020,1071,3,47463
8/24/2020,1209,7,33358
8/25/2020,953,4,45798
8/26/2020,876,4,58054
8/27/2020,1366,13,57640
8/28/2020,1409,5,65135
8/29/2020,1460,9,64294
8/30/2020,1444,1,53541
8/31/2020,1365,4,42583
9/1/2020,996,6,54395
9/2/2020,975,8,
9/3/2020,1326,6,
